title,native_title,rating,genres,directors,screenwriters,episodes,aired,aired_on,original_network,duration,content_rat,rank,popularity,watchers
Doctor Slump(2024),닥터슬럼프,8.3,"['Comedy', 'Romance', 'Drama', 'Medical']",['Oh Hyun Jong'],['Baek Sun Woo'],16,"Jan 27, 2024 - Mar 17, 2024","Saturday, Sunday","['jTBC', 'Netflix']",1 hr. 5 min.,15+ - Teens 15 or older,#1134,#255,"45,474"
"At a Distance, Spring Is Green(2021)",멀리서 보면 푸른 봄,8.3,"['Romance', 'Life', 'Youth']",['Kim Jung Hyun'],,12,"Jun 14, 2021 - Jul 20, 2021","Monday, Tuesday","['iQiyi', 'KBS2', 'Viki']",1 hr. 3 min.,15+ - Teens 15 or older,#1044,#290,"42,387"
True Beauty(2020),여신강림,8.3,"['Comedy', 'Romance', 'Youth', 'Drama']",['Kim Sang Hyub'],['Lee Shi Eun'],16,"Dec  9, 2020 - Feb  4, 2021","Wednesday, Thursday",['tvN'],1 hr. 15 min.,15+ - Teens 15 or older,#1048,#19,"142,454"
A LDF Original Series(2022),LDF 오리지널 시리즈,8.3,"['Mystery', 'Youth']",,,3,"Oct 25, 2022 - Oct 27, 2022","Tuesday, Wednesday, Thursday",,2 min.,Not Yet Rated,#973,#12465,470
The Forbidden Marriage(2022),"금혼령, 조선 혼인 금지령",8.3,"['Historical', 'Mystery', 'Comedy', 'Romance']","['Jung Hoon', 'Park Sang Woo']",['Cheon Ji Hye'],12,"Dec  9, 2022 - Jan 21, 2023","Friday, Saturday",['MBC'],1 hr. 10 min.,15+ - Teens 15 or older,#1055,#665,"23,190"
Hit the Spot(2022),판타G스팟,8.3,"['Romance', 'Drama', 'Mature']",['Yoon Ra Young'],,8,"Dec 23, 2022 - Jan 13, 2023",Friday,['COUPANG TV'],35 min.,R - Restricted Screening (nudity & violence),#1093,#1215,"13,737"
Money Heist: Korea - Joint Economic Area - Part 1(2022),종이의 집: 공동경제구역 - 파트1,8.3,"['Action', 'Thriller', 'Mystery', 'Crime']",['Kim Hong Seon'],"['Ryu Yong Jae', 'Kim Hwan Chae', 'Choi Sung Joon']",6,"Jun 24, 2022",Friday,['Netflix'],1 hr. 10 min.,18+ Restricted (violence & profanity),#1144,#440,"31,387"
Voice Season 4: Judgment Hour(2021),보이스4: 심판의 시간,8.3,"['Action', 'Thriller', 'Mystery', 'Supernatural']","['Shin Yong Hwi', 'Yoon Ra Young']",['Ma Jin Won'],14,"Jun 18, 2021 - Jul 31, 2021","Friday, Saturday",['tvN'],1 hr. 3 min.,15+ - Teens 15 or older,#1086,#1946,"8,093"
King the Land(2023),킹더랜드,8.3,"['Comedy', 'Romance']","['Im Hyun Wook', 'Choi Sun Min']",['Choi Rom'],16,"Jun 17, 2023 - Aug  6, 2023","Saturday, Sunday","['jTBC', 'Netflix', 'TVING']",1 hr. 20 min.,15+ - Teens 15 or older,#1204,#85,"85,607"
Arthdal Chronicles: The Sword of Aramun(2023),아라문의 검,8.3,"['Action', 'Historical', 'Romance', 'Fantasy']",['Kim Kwang Shik'],"['Kim Young Hyun', 'Park Sang Yeon']",12,"Sep  9, 2023 - Oct 22, 2023","Saturday, Sunday","['Disney+', 'tvN']",1 hr. 10 min.,15+ - Teens 15 or older,#1121,#1303,"12,819"
Call It Love(2023),사랑이라 말해요,8.3,"['Romance', 'Drama', 'Melodrama']",['Kim Ji Yeon'],['Kim Ga Eun'],16,"Feb 22, 2023 - Apr 12, 2023",Wednesday,"['Disney+', 'Hulu']",1 hr. 10 min.,13+ - Teens 13 or older,#1124,#487,"29,031"
Rookie Cops(2022),너와 나의 경찰수업,8.3,"['Romance', 'Life', 'Youth', 'Drama']","['Kim Byung Soo', 'Kim Jung Wook']",['Lee Ha Na'],16,"Jan 26, 2022 - Mar 16, 2022",Wednesday,"['Disney+', 'Hulu']",60 min.,15+ - Teens 15 or older,#1170,#498,"28,531"
One Day Off(2023),박하경 여행기,8.3,"['Food', 'Life', 'Drama']",['Lee Jong Pil'],['Son Mi'],8,"May 24, 2023 - May 31, 2023",Wednesday,['Wavve'],25 min.,Not Yet Rated,#1089,#3025,"4,771"
The King's Affection(2021),연모,8.3,"['Historical', 'Romance', 'Drama']","['Song Hyun Wook', 'Lee Hyun Suk']",['Han Hee Jung'],20,"Oct 11, 2021 - Dec 14, 2021","Monday, Tuesday","['KBS2', 'Netflix']",1 hr. 10 min.,15+ - Teens 15 or older,#1157,#207,"50,991"
Celebrity(2023),셀러브리티,8.3,"['Thriller', 'Mystery', 'Drama']",['Kim Chul Gyu'],['Kim Yi Young'],12,"Jun 30, 2023",Friday,['Netflix'],45 min.,18+ Restricted (violence & profanity),#1151,#281,"43,144"
Kingdom: Ashin of the North(2021),킹덤 외전: 아신,8.3,"['Action', 'Thriller', 'Historical', 'Drama']",['Kim Sung Hoon'],['Kim Eun Hee'],1,"Jul 23, 2021",Friday,['Netflix'],1 hr. 32 min.,18+ Restricted (violence & profanity),#1249,#1089,"15,289"
The Penthouse 2: Hidden Room - An Unfinished Story(2021),펜트하우스 II 히든룸 - 끝나지 않은 이야기,8.3,['Documentary'],,,1,"Apr  3, 2021",Saturday,['SBS'],1 hr. 30 min.,15+ - Teens 15 or older,#1223,#6061,"1,706"
Again My Life(2022),어게인 마이 라이프,8.3,"['Mystery', 'Law', 'Drama', 'Fantasy']","['Han Cheol Soo', 'Kim Yong Min']","['Kim Yool', 'J']",16,"Apr  8, 2022 - May 28, 2022","Friday, Saturday","['SBS', 'ViuTV']",1 hr. 5 min.,15+ - Teens 15 or older,#1216,#532,"27,325"
Divorce Attorney Shin(2023),신성한 이혼,8.3,"['Law', 'Drama']",['Lee Jae Hoon'],['Yoo Young Ah'],12,"Mar  4, 2023 - Apr  9, 2023","Saturday, Sunday","['jTBC', 'Netflix', 'TVING']",60 min.,15+ - Teens 15 or older,#1206,#1425,"11,499"
Like Flowers in Sand(2023),모래에도 꽃이 핀다,8.2,"['Mystery', 'Comedy', 'Romance', 'Life']",['Kim Jin Woo'],['Won Yoo Jung'],12,"Dec 20, 2023 - Jan 31, 2024","Wednesday, Thursday",['ENA'],1 hr. 4 min.,15+ - Teens 15 or older,#1445,#1306,"12,748"
The Story of Park's Marriage Contract(2023),열녀 박씨 계약 결혼뎐,8.3,"['Historical', 'Mystery', 'Romance', 'Fantasy']",['Park Sang Hoon'],,12,"Nov 24, 2023 - Jan  6, 2024","Friday, Saturday",['MBC'],1 hr. 10 min.,15+ - Teens 15 or older,#1228,#431,"31,948"
My Demon(2023),마이데몬,8.3,"['Action', 'Comedy', 'Romance', 'Fantasy']","['Kim Jang Han', 'Kwon Da Som']",['Choi Ah Il'],16,"Nov 24, 2023 - Jan 20, 2024","Friday, Saturday","['Netflix', 'SBS']",1 hr. 6 min.,15+ - Teens 15 or older,#1218,#100,"77,512"
Salon De Nabi(2022),"날아올라라, 나비",8.2,"['Life', 'Drama']","['Kim Da Ye', 'Kim Bo Kyung']",['Park Yeon Sun'],16,"Aug  1, 2022",,"['Amazon Prime', 'jTBC']",1 hr. 10 min.,15+ - Teens 15 or older,#1300,#2443,"6,121"
Song of the Bandits(2023),도적: 칼의 소리,8.2,"['Action', 'Thriller', 'Historical', 'Drama']","['Park Hyun Suk', 'Hwang Joon Hyuk']",['Han Jung Hoon'],9,"Sep 22, 2023",,['Netflix'],58 min.,18+ Restricted (violence & profanity),#1376,#1623,"10,037"
Bulgasal: Immortal Souls(2021),불가살,8.2,"['Thriller', 'Mystery', 'Drama', 'Fantasy']",['Jang Young Woo'],"['Seo Jae Won', 'Kwon So Ra']",16,"Dec 18, 2021 - Feb  6, 2022","Saturday, Sunday","['Netflix', 'tvN']",1 hr. 15 min.,15+ - Teens 15 or older,#1344,#527,"27,465"
Awaken(2020),낮과 밤,8.2,"['Thriller', 'Mystery', 'Crime', 'Fantasy']","['Jo Soo Won', 'Lee Soo Hyun']",['Shin Yoo Dam'],16,"Nov 30, 2020 - Jan 19, 2021","Monday, Tuesday",['tvN'],1 hr. 10 min.,15+ - Teens 15 or older,#1299,#811,"19,703"
